epoch_s,t_s,altitude_m
1789596836.58,2.61,0.1950
1789596836.78,2.81,0.1950
1789596836.98,3.01,0.1950
1789596837.18,3.21,0.1950
1789596837.38,3.41,0.1950
1789596837.58,3.61,0.1950
1789596837.78,3.81,0.1950
1789596837.98,4.01,0.1950
1789596838.18,4.21,0.1950
1789596838.38,4.41,0.1950
1789596838.58,4.61,0.1950
1789596838.78,4.81,0.1950
1789596838.98,5.01,0.1950
1789596839.18,5.21,0.1950
1789596839.38,5.41,0.1950
1789596839.58,5.61,0.1950
1789596839.78,5.81,0.1950
1789596839.98,6.01,0.1950
1789596840.18,6.21,0.1950
1789596840.38,6.41,0.1950
1789596840.58,6.62,0.1950
1789596840.78,6.81,0.1950
1789596840.98,7.01,0.1950
1789596841.18,7.21,0.1950
1789596841.38,7.41,0.1950
1789596841.58,7.61,0.1950
1789596841.78,7.81,0.1950
1789596841.98,8.01,0.1950
1789596842.18,8.21,0.1950
1789596842.38,8.41,0.1950
1789596842.58,8.61,0.1950
1789596842.78,8.81,0.1950
1789596842.98,9.01,0.1950
1789596843.18,9.21,0.1950
1789596843.38,9.41,0.1950
1789596843.58,9.61,0.1950
1789596843.78,9.81,0.1950
1789596843.98,10.01,0.1950
1789596844.18,10.21,0.1950
1789596844.38,10.41,0.1950
1789596844.58,10.61,0.1950
1789596844.78,10.81,0.1950
1789596844.98,11.01,0.1950
1789596845.18,11.21,0.1950
1789596845.38,11.41,0.1950
1789596845.58,11.61,0.1950
1789596845.78,11.81,0.1950
1789596845.98,12.01,0.1950
1789596846.18,12.21,0.1950
1789596846.38,12.41,0.1950
1789596846.58,12.61,0.1950
1789596846.78,12.81,0.1950
1789596846.98,13.01,0.1950
1789596847.18,13.21,0.1950
1789596847.38,13.41,0.1950
1789596847.58,13.61,0.1950
1789596847.78,13.81,0.1950
1789596847.98,14.01,0.1950
1789596848.18,14.21,0.1950
1789596848.38,14.41,0.1950
1789596848.58,14.61,0.1950
1789596848.78,14.81,0.1950
1789596848.98,15.01,0.1950
1789596849.18,15.21,0.1950
1789596849.38,15.41,0.1950
1789596849.58,15.61,0.1950
1789596849.78,15.81,0.1950
1789596849.98,16.01,0.1950
1789596850.18,16.21,0.1950
1789596850.38,16.41,0.1950
1789596850.58,16.61,0.1950
1789596850.78,16.81,0.1950
1789596850.98,17.01,0.1950
